Id,Taxon,BO1,BO2,BO3,BO4,BO5,BO6,B1L,B1W,B2L,B2W,B3L,B3W,B4L,B4W,B5L,B5W,B6L,B6W,Lat
N.he_NJ_58,N.he,0,0.432,2.053,2.127,2.604,0.756,0,0,0.78,0.544,2.176,0.94,2.202,1.109,2.442,1.25,1.343,0.453,40
N.he_NJ_62,N.he,0,0.807,2.679,3.005,3.359,1.357,0,0,1.121,0.837,2.183,1.652,2.35,1.424,2.414,1.806,1.518,1.025,40
N.he_NJ_63,N.he,0,0,2.081,1.903,1.927,0.79,0,0,0,0,2.093,1.177,1.968,1.147,2.045,1.27,1.213,0.763,40
N.he_NJ_65,N.he,0,0.529,3.175,3.836,4.529,1.752,0,0,1.167,0.543,2.538,1.452,3.156,1.403,3.356,1.646,1.864,1.06,40
N.he_NJ_67,N.he,0,0.427,1.522,2.405,2.333,0.598,0,0,0.992,0.559,1.827,1.236,2.349,1.266,2.281,1.263,0.685,0.655,40
N.he_NJ_69,N.he,0,0.644,2.228,2.931,2.934,1.567,0,0,1.043,0.75,2.367,1.36,2.484,1.529,2.872,1.322,1.702,0.88,40
N.he_NJ_71,N.he,0,0.647,2.287,2.483,3.063,1.225,0,0,1.296,0.543,2.231,1.292,2.387,1.224,2.656,1.347,1.962,0.609,40
N.he_NJ_72,N.he,0,0.601,2.417,2.335,2.829,1.084,0,0,1.306,0.472,2.023,1.276,2.216,1.391,2.295,1.429,1.438,0.616,40
N.he_NJ_73,N.he,0,0.433,2.007,2.358,2.146,0.848,0,0,1.092,0.576,2.158,1.081,2.408,0.988,2.437,1.146,1.663,0.709,40
N.he_VA_36,N.he,0,1.023,3.166,3.058,3.497,1.661,0,0,1.681,0.745,2.92,1.276,2.852,1.172,2.883,1.295,2.619,0.758,37
N.he_VA_41,N.he,0,0.411,2.269,2.421,3.57,0.972,0,0,1.018,0.506,2.42,1.143,2.245,1.154,3.091,1.328,1.782,0.48,37
N.he_VA_46,N.he,0,0.606,1.693,2.341,2.92,0.86,0,0,0.956,0.718,1.747,1.06,2.234,1.195,2.453,1.393,1.326,0.726,37
N.he_VA_48,N.he,0,0.412,1.656,1.873,2.459,0.782,0,0,1.09,0.495,2.014,1.126,2.212,0.896,2.703,1.102,1.283,0.648,37
N.he_VA_51,N.he,0,0.167,1.513,2.052,2.759,0.568,0,0,0.5,0.456,2.164,0.704,2.408,1.017,2.884,0.871,1.179,0.42,37
N.he_VA_52,N.he,0,0.693,2.078,2.337,2.862,0.903,0,0,0.956,0.719,1.91,1.12,2.586,1.036,2.599,1.315,1.573,0.749,37
N.he_VA_53,N.he,0,0.331,2.305,2.002,2.211,0.733,0,0,0.756,0.528,2.378,1.12,2.275,1.185,2.339,1.091,1.238,0.56,37
N.mi_IN_115,N.mi,0,1,2.247,2.226,2.582,0.75,0,0,1.19,0.891,1.571,1.542,1.819,1.547,1.973,1.668,0.924,0.713,41.5
N.mi_MI_100,N.mi,0.003,0.741,1.685,1.878,1.978,0.711,0.166,0.09,1.16,0.754,1.644,1.263,1.697,1.402,1.558,1.469,1.1,0.767,42
N.mi_MI_101,N.mi,0,0.989,2.163,2.221,2.379,0.834,0,0,1.32,0.94,1.966,1.343,1.889,1.349,1.919,1.401,1.148,0.869,42
N.mi_MI_102,N.mi,0.004,0.907,2.111,2.261,2.367,0.803,0.342,0.167,1.271,0.881,1.892,1.318,1.955,1.477,1.988,1.625,1.291,0.833,42
N.mi_MI_188 ,N.mi,0.142,0.886,2.296,2.494,3.032,1.046,0.564,0.335,1.063,0.943,1.846,1.417,1.953,1.518,1.94,1.756,1.203,1.053,42
N.mi_MI_189,N.mi,0,0.85,1.902,2.342,2.378,1.021,0,0,1.01,0.853,1.604,1.223,1.763,1.384,1.73,1.585,1.325,0.914,42
N.mi_MI_190,N.mi,0,0.74,2.027,2.268,2.51,0.712,0,0,1.034,0.659,1.711,1.382,1.702,1.588,1.654,1.671,1.076,0.747,42
N.mi_MI_191,N.mi,0,0.986,2.698,2.812,2.88,1.223,0,0,1.174,1.097,1.988,1.594,2.029,1.582,2.079,1.61,1.612,0.941,42
N.mi_MI_192,N.mi,0,1.036,2.812,2.916,3.012,2.083,0,0,1.307,0.987,2.22,1.511,2.107,1.739,1.916,1.71,1.405,1.066,42
N.mi_MI_193,N.mi,0,0.933,2.881,2.606,3.029,1.017,0,0,1.313,0.889,2.408,1.367,2.14,1.52,2.096,1.733,1.203,0.962,42
N.mi_MI_194,N.mi,0.321,1.444,2.474,2.24,2.793,1.092,0.755,0.503,1.381,1.181,1.908,1.445,1.958,1.421,2.068,1.654,1.325,0.894,42
N.mi_MI_195,N.mi,0,0.967,2.188,2.343,2.308,0.716,0,0,1.03,1.045,1.785,1.437,1.901,1.438,1.717,1.59,1.115,0.695,42
N.mi_MI_196,N.mi,0.161,1.025,2.558,3.464,3.149,1.217,0.436,0.416,1.242,0.905,1.93,1.399,2.363,1.727,2.203,1.726,1.333,1.115,42
N.mi_MI_197,N.mi,0,1.258,3.025,2.684,3.042,0.94,0,0,1.448,0.987,2.042,1.638,1.923,1.658,2.116,1.834,1.198,0.865,42
N.mi_MI_198,N.mi,0.333,0.955,2.243,2.148,2.612,0.983,0.696,0.597,1.154,0.909,1.655,1.675,1.713,1.348,1.78,1.635,1.265,0.937,42
N.mi_MI_202,N.mi,0,0.656,2.098,2.148,2.58,1.148,0,0,0.934,0.683,1.743,1.355,1.876,1.388,1.961,1.524,1.216,1.114,42
N.mi_MI_203,N.mi,0,0.65,2.254,2.668,2.667,0.996,0,0,1,0.801,1.902,1.369,1.984,1.594,2.083,1.702,1.318,0.937,42
N.mi_MI_204,N.mi,0.182,0.882,2.392,2.517,2.711,1.102,0.558,0.362,1.189,0.753,2.014,1.389,2.055,1.365,2.088,1.649,1.392,0.975,42
N.mi_MI_205,N.mi,0,0.522,2.461,2.266,2.112,0.833,0,0,0.869,0.694,1.793,1.573,1.85,1.472,1.64,1.405,1.012,0.969,42
N.mi_MI_206,N.mi,0,1.195,2.003,2.073,2.188,1.134,0,0,1.306,1.166,2.03,1.686,2.128,1.724,2.15,1.867,1.388,1.024,42
N.mi_MI_207,N.mi,0,0.8,2.234,2.564,2.87,1.313,0,0,0.974,0.886,1.936,1.395,1.986,1.475,1.948,1.526,1.314,1.212,42
N.mi_MI_208,N.mi,0,0.819,1.801,2.145,2.557,0.763,0,0,1.141,0.931,1.693,1.23,1.786,1.319,2.184,1.672,1.048,0.848,42
N.mi_MI_209,N.mi,0,0.425,1.845,2.078,2.396,0.743,0,0,0.92,0.631,1.515,1.436,1.696,1.478,1.857,1.617,1.14,0.943,42
N.mi_MI_211,N.mi,0,1.035,2.488,2.549,2.993,1.17,0,0,1.361,1.062,1.893,1.453,2.138,1.461,2.165,1.748,1.39,0.989,42
N.mi_MI_212,N.mi,0,0.698,1.991,2.172,2.193,0.346,0,0,0.031,0.798,1.829,1.368,1.809,1.496,1.745,1.544,0.843,0.528,42
N.mi_MI_213,N.mi,0,0.672,1.808,1.92,1.758,0.441,0,0,0.977,0.853,1.52,1.388,1.78,1.399,1.46,1.521,0.881,0.742,42
N.mi_MI_215,N.mi,0.269,0.848,2.015,2.104,2.034,0.921,0.748,0.372,1.184,0.819,1.914,1.24,1.722,1.394,1.84,1.336,1.315,0.998,42
N.mi_MI_217,N.mi,0,0.836,2.299,1.99,2.208,0.621,0,0,1.162,0.874,1.982,1.464,1.863,1.423,1.804,1.5,1.026,0.804,42
N.mi_MI_219,N.mi,0.278,1.134,2.465,2.397,2.821,1.392,0.743,0.486,1.353,0.953,1.873,1.452,1.916,1.612,2.105,1.645,1.398,1.22,42
N.mi_MI_221,N.mi,0,1.016,2.653,2.499,3.275,1.069,0,0,1.267,1.035,2.037,1.564,1.855,1.616,2.343,1.796,1.235,1.046,42
N.mi_MI_223,N.mi,0,0.772,2.04,2.432,2.1,0.92,0,0,1.102,0.834,1.993,1.31,1.991,1.527,1.878,1.507,1.209,0.92,42
N.mi_MI_224,N.mi,0,0.962,2.496,2.467,2.615,1.325,0,0,1.185,1.036,2.054,1.551,2.066,1.604,1.798,1.598,1.433,1.223,42
N.mi_MI_225,N.mi,0.362,1.189,2.633,2.585,3.028,1.163,0.819,0.563,1.421,1.01,2.14,1.459,2.135,1.382,2.008,1.772,1.336,1.205,42
N.mi_MI_226,N.mi,0.237,1.039,2.436,2.451,2.997,0.899,0.706,0.473,1.304,1.047,1.821,1.676,1.94,1.612,2.178,1.709,1.259,0.879,42
N.mi_MI_228,N.mi,0.138,0.708,1.949,1.957,2.591,0.977,0.469,0.399,1.195,0.881,1.671,1.4,1.852,1.328,1.909,1.719,1.242,1.032,42
N.mi_MI_229,N.mi,0,0.955,2.435,2.619,2.872,1.032,0,0,1.213,0.969,1.958,1.528,1.975,1.691,2.125,1.849,1.388,0.95,42
N.mi_MI_230,N.mi,0.181,1.057,2.507,2.368,2.911,0.877,0.571,0.395,1.243,0.967,1.883,1.536,1.968,1.457,2.071,1.685,1.252,0.804,42
N.mi_MI_232,N.mi,0.321,0.679,2.041,2.232,2.187,0.736,0.695,0.612,1.172,0.76,1.748,1.428,1.78,1.541,1.613,1.567,1.038,0.788,42
N.mi_MI_234,N.mi,0.342,0.958,2.279,2.169,2.725,0.913,0.696,0.513,1.3,1.082,1.847,1.435,1.783,1.507,1.968,1.742,1.359,0.9,42
N.mi_MI_236,N.mi,0.199,0.791,2.102,2.181,2.439,1.089,0.567,0.409,0.971,0.954,1.89,1.335,1.887,1.483,1.961,1.696,1.34,0.994,42
N.mi_MI_237,N.mi,0,0.535,2.143,2.29,2.686,0.785,0,0,0.973,0.742,2.034,1.261,1.941,1.359,1.864,1.676,1.346,0.753,42
N.mi_MI_238,N.mi,0,0.89,2.269,2.988,3.233,1.337,0,0,1.141,0.891,1.903,1.326,2.276,1.472,2.161,1.745,1.434,1.126,42
N.mi_MI_240,N.mi,0.254,0.627,2.307,2.836,2.706,0.592,0.682,0.489,1.193,0.707,1.801,1.46,1.998,1.567,1.931,1.747,0.883,0.839,42
N.mi_MI_241,N.mi,0,1.084,3.076,3.039,3.227,1.507,0,0,1.278,1.093,2.471,1.496,2.25,1.601,2.282,1.766,1.579,1.199,42
N.mi_MI_242,N.mi,0,0.865,2.525,2.598,3.229,0.907,0,0,1.18,0.939,2.109,1.378,2.008,1.408,2.215,1.678,1.125,0.996,42
N.mi_MI_243,N.mi,0,0.814,2.407,1.926,2.732,1.134,0,0,1.138,0.819,2.066,1.422,1.867,1.353,2.028,1.632,1.326,1.11,42
N.mi_MI_244,N.mi,0.221,0.884,2.272,2.479,2.89,0.963,0.562,0.486,1.188,0.859,1.787,1.468,1.786,1.663,2.195,1.698,1.252,0.971,42
N.mi_MI_245,N.mi,0.276,1.02,2.434,2.657,2.445,0.707,0.645,0.54,1.227,0.984,1.992,1.477,2.022,1.661,1.924,1.647,1.311,0.738,42
N.mi_MI_246,N.mi,0,0.566,2.058,2.173,2.266,0.726,0,0,0.962,0.787,1.701,1.495,1.895,1.385,1.8,1.568,1.007,0.931,42
N.mi_MI_247,N.mi,0.482,1.262,3.358,3.359,3.958,2.678,0.861,0.672,1.363,1.165,2.283,1.777,2.278,1.863,2.635,1.932,1.855,1.149,42
N.mi_MI_248,N.mi,0.353,1.234,2.661,3.032,3.122,1.274,0.809,0.606,1.475,1.123,2.005,1.627,2.347,1.668,2.093,1.888,1.431,1.14,42
N.mi_MI_249,N.mi,0,0.792,2.645,2.858,3.088,1.175,0,0,1.173,0.853,1.927,1.634,2.145,1.491,2.059,1.838,1.323,1.104,42
N.mi_MI_250,N.mi,0.254,0.959,1.997,2.07,2.528,0.907,0.678,0.475,1.259,1.003,1.752,1.462,1.683,1.403,1.963,1.655,1.164,0.982,42
N.mi_MI_255,N.mi,0,1.158,3.079,3.038,3.315,1.511,0,0,1.301,1.081,2.353,1.518,2.323,1.676,2.315,1.751,1.624,1.145,42
N.mi_MI_257,N.mi,0,1.304,2.795,3.28,3.404,1.006,0,0,1.559,1.139,2.072,1.662,2.469,1.627,2.2,1.77,1.228,0.918,42
N.mi_MI_273,N.mi,0,1.489,3.731,4.034,4.199,0.94,0,0,1.477,1.055,2.487,1.651,2.567,1.867,2.556,2.091,1.156,1.019,42
N.mi_MI_274,N.mi,0,0.849,2.001,2.068,2.477,0.647,0,0,1.237,0.843,1.824,1.419,1.781,1.385,1.883,1.658,0.989,0.789,42
N.mi_MI_275,N.mi,0,0.959,1.92,2.498,3.015,0.314,0,0,1.215,1.004,1.809,1.31,2.026,1.455,2.16,1.759,0.637,0.507,42
N.mi_MI_301,N.mi,0,0.644,1.57,1.497,1.659,0.417,0,0,0.972,0.869,1.526,1.221,1.458,1.189,1.694,1.164,0.7,0.776,42
N.mi_MI_304,N.mi,0,1.137,2.304,2.882,3.155,1.298,0,0,1.36,1.158,1.909,1.392,2.126,1.645,2.185,1.937,1.446,1.151,42
N.mi_MI_307,N.mi,0,0.951,2.332,2.448,2.82,1.134,0,0,1.352,1.094,1.873,1.622,1.918,1.64,2.139,1.716,1.372,1.13,42
N.mi_MI_308,N.mi,0,1.217,2.899,3.004,3.327,1.245,0,0,1.373,1.149,2.391,1.647,2.357,1.617,2.24,1.892,1.518,1.06,42
N.mi_MI_310,N.mi,0,1.152,2.95,2.816,2.977,1.312,0,0,1.428,1.051,2.352,1.444,2.279,1.498,1.989,1.807,1.374,1.147,42
N.mi_MI_311,N.mi,0,1.171,2.83,2.915,3.055,1.2,0,0,1.353,1.19,2.186,1.457,2.165,1.515,2.123,1.84,1.319,1.066,42
N.mi_MI_312,N.mi,0,1.218,2.642,2.644,2.953,0.909,0,0,1.574,0.977,2.144,1.559,2.118,1.491,2.104,1.666,1.139,0.838,42
N.mi_MI_313,N.mi,0,0.863,2.299,2.797,2.972,0.837,0,0,1.086,1.08,1.901,1.538,2.099,1.641,2.14,1.755,1.167,0.899,42
N.mi_MI_315,N.mi,0,1.006,2.673,2.471,2.568,0.973,0,0,1.327,0.959,2.377,1.484,1.962,1.602,1.827,1.687,1.19,0.969,42
N.mi_MI_316,N.mi,0.208,0.599,1.836,1.965,2.512,0.776,0.662,0.408,0.947,0.808,1.672,1.366,1.812,1.366,1.715,1.697,1.104,0.976,42
N.mi_MI_317,N.mi,0.203,0.99,2.759,2.552,2.743,1.072,0.493,0.515,1.097,1.037,2.326,1.387,2.081,1.365,1.993,1.756,1.414,1.005,42
N.mi_MI_318,N.mi,0,1.386,3.059,3.408,3.446,1.292,0,0,1.598,1.071,2.23,1.595,2.495,1.744,2.38,1.746,1.47,0.964,42
N.mi_MI_319,N.mi,0.292,1.025,2.819,3.015,2.023,1.256,0.682,0.568,1.319,1.011,2.286,1.459,2.296,1.643,2.067,1.862,1.512,1.139,42
N.mi_MI_320,N.mi,0,0.488,1.814,1.788,2.087,0.985,0,0,0.927,0.685,1.737,1.358,1.711,1.292,1.848,1.417,1.307,0.924,42
N.mi_MI_321,N.mi,0,0.804,1.903,1.893,2.669,0.724,0,0,1.252,0.774,1.75,1.3,1.669,1.335,2.096,1.771,1.056,0.822,42
N.mi_MI_322,N.mi,0,0.928,2.358,2.864,2.646,0.834,0,0,1.193,0.826,2.148,1.251,2.166,1.626,1.944,1.706,1.111,0.97,42
N.mi_MI_323,N.mi,0,0.27,2.44,2.855,2.706,0.798,0,0,1.266,0.913,2.166,1.304,2.25,1.671,1.937,1.694,1.1,0.895,42
N.mi_MI_325,N.mi,0.664,0.895,2.845,2.958,3.239,0.956,1.124,0.78,1.31,0.905,2.472,1.574,2.385,1.689,2.341,1.777,1.357,0.906,42
N.mi_MI_326,N.mi,0.808,1.712,3.29,3.455,3.506,1.527,1.369,0.846,1.692,1.353,2.393,1.693,2.5,1.772,2.19,1.927,1.417,1.273,42
N.mi_MI_327,N.mi,0,0.91,2.058,2.432,2.731,0.86,0,0,1.329,0.828,1.796,1.413,1.857,1.501,1.856,1.717,1.127,0.797,42
N.mi_MI_328,N.mi,0.209,0.824,1.682,2.146,2.526,2.526,0.696,0.375,1.061,0.935,1.585,1.316,1.853,1.436,1.809,1.765,0.895,0.871,42
N.mi_MI_329,N.mi,0.446,0.706,1.899,2.319,2.504,0.814,0.944,0.585,1.089,0.797,1.727,1.362,1.845,1.539,1.897,1.571,1.277,0.853,42
N.mi_MI_332,N.mi,0,0.969,2.097,2.318,2.493,0.558,0,0,1.395,0.999,1.771,1.481,1.907,1.596,1.875,1.643,0.946,0.747,42
N.mi_MI_333,N.mi,0.383,1.153,2.412,2.357,2.576,1.102,0.821,0.584,1.465,1.079,2.075,1.333,2.112,1.498,2.014,1.556,1.575,0.913,42
N.mi_MI_334,N.mi,0,1.091,2.29,2.13,2.715,1.029,0,0,1.375,1.05,1.854,1.307,1.794,1.364,1.992,1.661,1.248,0.893,42
N.mi_MI_337,N.mi,0,0.608,2.223,2.127,2.503,1.101,0,0,1.015,0.72,1.819,1.377,2.078,1.306,1.907,1.519,1.486,0.884,42
N.mi_MI_338,N.mi,0.189,1.211,2.295,2.889,3.172,0.918,0.627,0.457,1.373,1.048,1.902,1.422,2.182,1.66,2.158,1.918,1.067,0.923,42
N.mi_MI_342,N.mi,0,0.687,1.93,2.058,2.116,0.397,0,0,0.956,0.904,1.709,1.255,1.661,1.406,1.897,1.424,0.824,0.608,42
N.mi_MI_343,N.mi,0,0.972,2.13,2.651,2.634,0.744,0,0,1.231,0.975,1.845,1.277,1.992,1.546,1.692,1.745,1.104,0.791,42
N.mi_MI_344,N.mi,0,1.027,2.73,3.018,2.891,0.756,0,0,1.242,1.036,2.123,1.558,2.314,1.658,2.01,1.728,1.182,0.884,42
N.mi_MI_345,N.mi,0,1.045,2.638,3.027,2.327,0.767,0,0,1.231,1.167,2.056,1.613,2.248,1.751,2.102,1.829,1.044,0.773,42
N.mi_MI_75,N.mi,0.047,0.789,2.108,2.088,2.612,0.804,0.27,0.114,1.083,0.854,1.847,1.286,1.823,1.324,1.947,1.605,1.206,0.885,42
N.mi_MI_76,N.mi,0.342,0.796,1.976,2.329,2.654,0.677,0.704,0.597,1.158,0.762,1.754,1.286,1.931,1.418,1.923,1.645,0.962,0.69,42
N.mi_MI_77,N.mi,0.422,0.944,2.436,2.825,2.918,1.246,0.766,0.585,1.244,0.83,2.139,1.311,2.245,1.56,2.06,1.814,1.552,1.084,42
N.mi_MI_78,N.mi,0.501,0.834,1.925,1.568,2.574,1.266,0.892,0.651,1.149,0.869,1.786,1.262,1.743,0.976,1.763,1.796,1.485,1.008,42
N.mi_MI_79,N.mi,0,0.946,2.261,2.483,3.192,1.034,0,0,1.207,0.98,2.03,1.323,1.974,1.527,2.185,1.758,1.453,0.928,42
N.mi_MI_80,N.mi,0.184,0.917,1.995,2.269,2.579,0.968,0.557,0.378,1.084,0.993,1.646,1.322,1.671,1.473,1.728,1.77,1.214,1.006,42
N.mi_MI_81,N.mi,0,0.867,1.968,2.302,2.451,0.84,0,0,1.182,0.927,1.784,1.374,1.909,1.494,1.778,1.625,1.041,0.752,42
N.mi_MI_82,N.mi,0.221,1.077,2.156,2.226,2.641,0.964,0.6,0.358,1.527,0.929,2.042,1.297,1.932,1.442,1.868,1.518,1.144,0.905,42
N.mi_MI_83,N.mi,0,0.856,1.78,1.766,2.213,0.829,0,0,1.25,0.774,1.703,1.203,1.654,1.245,1.721,1.553,1.258,0.792,42
N.mi_MI_84,N.mi,0.255,0.737,1.972,1.931,2.352,0.923,0.66,0.494,1.112,0.829,1.653,1.321,1.734,1.371,1.762,1.579,1.121,0.834,42
N.mi_MI_85,N.mi,0.394,0.798,1.919,2.382,2.869,0.974,0.806,0.664,1.209,0.78,1.82,1.278,2.145,1.416,2.187,1.71,1.25,0.925,42
N.mi_MI_86,N.mi,0,0.628,2.1,2.079,2.143,0.708,0,0,0.967,0.815,1.999,1.305,1.91,1.449,1.718,1.522,1.114,0.719,42
N.mi_MI_87,N.mi,0.332,0.83,1.707,2.003,2.11,0.68,0.665,0.561,1.142,0.768,1.58,1.298,1.722,1.365,1.633,1.297,0.922,0.738,42
N.mi_MI_88,N.mi,0,0.52,2.19,1.957,2.323,0.909,0,0,0.876,0.628,2,1.308,1.87,1.346,1.727,1.375,1.112,0.865,42
N.mi_MI_89,N.mi,0,1.424,2.892,3.637,4.103,1.272,0,0,1.681,1.012,2.036,1.467,2.414,1.816,2.796,1.896,1.44,1.109,42
N.mi_MI_91,N.mi,0,0.54,1.857,2.114,1.941,0.709,0,0,0.987,0.657,1.803,1.332,1.763,1.402,1.633,1.371,1.009,0.848,42
N.mi_MI_92,N.mi,0,0.617,1.574,2.132,2.56,0.67,0,0,0.944,0.843,1.605,1.18,1.828,1.397,1.893,1.634,1.112,0.763,42
N.mi_MI_93,N.mi,0.066,0.76,1.721,2.057,2.416,0.783,0.309,0.234,1.173,0.918,1.628,1.214,1.686,1.417,1.678,1.617,1.2,0.796,42
N.mi_MI_94,N.mi,0,0.388,1.871,2.259,2.491,0.492,0,0,0.717,0.679,1.756,1.283,1.906,1.434,1.813,1.643,0.81,0.623,42
N.mi_MI_95,N.mi,0.183,0.803,2.237,2.387,2.81,1.202,0.505,0.485,1.1,0.811,2.077,1.157,2.015,1.376,1.982,1.734,1.44,0.97,42
N.mi_MI_96,N.mi,0.203,0.598,1.734,1.878,2.097,0.594,0.583,0.368,0.98,0.71,1.921,1.04,1.785,1.219,1.809,1.258,0.874,0.682,42
N.mi_MI_97,N.mi,0,0.953,2.393,2.336,2.245,1.146,0,0,1.272,0.961,2.139,1.211,1.967,1.269,1.721,1.475,1.427,0.935,42
N.mi_MI_98,N.mi,0.208,0.855,2.384,2.537,2.699,1.065,0.576,0.488,1.139,0.784,2.076,1.341,2.087,1.487,1.966,1.645,1.29,1.091,42
N.mi_MI_99,N.mi,0.136,0.831,1.852,2.029,2.215,0.858,0.359,0.314,1.207,0.838,1.689,1.372,1.694,1.4,1.737,1.452,1.187,0.819,42
N.mi_NJ_102,N.mi,0,0.991,2.119,2.27,2.376,0.805,0,0,1.297,0.835,1.848,1.424,1.888,1.458,1.99,1.597,1.142,0.855,40
N.mi_NJ_103,N.mi,0.163,0.725,2.033,2.181,1.951,0.855,0.55,0.266,1.038,0.903,1.829,1.419,1.961,1.342,1.672,1.407,1.221,0.893,40
N.mi_NJ_104,N.mi,0,0.605,2.113,2.217,2.175,0.927,0,0,0.924,0.705,2.091,1.175,2.105,1.358,1.834,1.499,1.37,0.883,40
N.mi_NJ_105,N.mi,0,0.752,1.713,1.638,2.075,0.943,0,0,1.155,0.737,1.889,1.167,1.863,1.162,1.96,1.284,1.292,0.898,40
N.mi_NJ_106,N.mi,0,0.908,2.613,2.693,2.698,1.405,0,0,1.398,0.82,2.619,1.202,2.35,1.468,2.067,1.455,1.627,1.09,40
N.mi_NJ_107,N.mi,0.325,0.845,2.133,2.782,2.392,1.028,0.752,0.52,1.25,0.887,1.912,1.315,2.172,1.526,1.855,1.41,1.312,0.879,40
N.mi_NJ_108,N.mi,0.128,0.855,1.977,2.469,2.205,1.06,0.441,0.321,1.192,0.827,2.012,1.204,1.796,1.468,1.74,1.463,1.324,0.911,40
N.mi_NJ_109,N.mi,0,0.404,1.901,1.953,2.222,0.75,0,0,0.985,0.632,2.018,1.087,1.939,1.324,1.905,1.251,1.096,0.737,40
N.mi_NJ_110,N.mi,0.232,0.7,1.499,1.739,1.395,0.463,0.598,0.514,1.004,0.816,1.555,1.123,1.767,1.239,1.667,1.024,0.999,0.484,40
N.mi_NJ_111,N.mi,0.57,1.007,2.23,2.495,2.425,0.888,0.939,0.851,1.29,0.929,1.927,1.256,2.154,1.46,2.082,1.415,1.181,0.956,40
N.mi_NJ_112,N.mi,0,0.742,1.681,1.716,1.797,0.559,0,0,1.105,0.813,1.665,1.142,1.593,1.245,1.746,1.241,0.875,0.667,40
N.mi_NJ_113,N.mi,0.559,0.996,2.832,2.95,2.719,1.169,1.128,0.667,1.354,0.868,2.289,1.513,2.559,1.452,2.233,1.558,1.673,0.862,40
N.mi_NJ_114,N.mi,0.786,1.462,3.14,3.155,2.98,1.188,1.167,0.837,1.47,1.159,2.301,1.585,2.212,1.584,2.19,1.632,1.411,1.009,40
N.mi_NJ_75,N.mi,0,1.189,2.66,3.852,3.43,1.45,0,0,1.393,0.928,2.394,1.337,2.552,1.556,2.694,1.517,1.679,0.972,40
N.mi_NJ_76,N.mi,0.647,1.175,3.145,3.299,2.504,0.993,0.972,0.743,1.395,0.991,2.571,1.472,2.453,1.629,2.008,1.521,1.38,0.963,40
N.mi_NJ_77,N.mi,0.343,0.926,2.202,2.353,2.432,0.82,0.713,0.621,1.087,1.024,2.007,1.454,1.902,1.439,2.019,1.519,1.138,0.743,40
N.mi_NJ_78,N.mi,0.245,1.207,2.058,3.203,3.19,0.949,0.622,0.352,1.373,0.956,1.903,1.202,2.3,1.89,2.473,1.767,1.071,0.958,40
N.mi_NJ_79,N.mi,0,1.029,3.079,3.096,2.934,1.13,0,0,1.271,0.938,2.364,1.344,2.268,1.661,2.198,1.467,1.28,1.003,40
N.mi_NJ_80,N.mi,0.454,1.342,2.785,2.77,2.812,0.955,0.924,0.636,1.578,1.016,2.325,1.538,2.284,1.484,2.235,1.62,1.322,0.73,40
N.mi_NJ_81,N.mi,0.597,0.942,2.607,3.361,2.69,1.072,1.174,0.681,1.236,0.883,2.174,1.335,2.576,1.545,2.21,1.517,1.489,0.94,40
N.mi_NJ_82,N.mi,0.622,1.179,2.586,2.824,2.235,0.883,0.999,0.711,1.429,0.894,1.97,1.413,2.172,1.685,2.001,1.517,1.283,0.734,40
N.mi_NJ_83,N.mi,0.531,1.177,3.476,3.399,3.014,0.786,0.899,0.699,1.362,0.902,2.618,1.543,2.636,1.618,2.181,1.524,1.134,0.782,40
N.mi_NJ_84,N.mi,0.486,1.118,2.943,3.23,2.577,0.901,0.914,0.597,1.336,1.071,2.37,1.4,2.593,1.684,2.187,1.393,1.428,0.79,40
N.mi_NJ_85,N.mi,0.432,1.717,3.205,3.717,3.37,0.917,0.982,0.547,1.742,1.141,2.428,1.573,2.29,1.955,2.453,1.685,1.144,0.88,40
N.mi_NJ_86,N.mi,0.21,0.847,2.622,2.687,2.74,1.153,0.643,0.388,1.093,0.911,2.072,1.601,2.202,1.56,2.212,1.549,1.462,0.952,40
N.mi_NJ_87,N.mi,0.565,1.445,2.912,3.235,3.067,0.751,0.896,0.719,1.496,1.12,2.22,1.612,2.441,1.678,2.078,1.686,1.199,0.754,40
