Id,Taxon,BO1,BO2,BO3,BO4,BO5,BO6,B1L,B1W,B2L,B2W,B3L,B3W,B4L,B4W,B5L,B5W,B6L,B6W,Lat
N.ar_FL_55,N.ar,0,0.162,3.002,2.557,2.838,0.781,0,0,0.575,0.364,3.292,1.273,2.953,1.204,3.067,1.245,1.558,0.713,29
N.ar_FL_56,N.ar,0,0,2.326,1.801,2.943,1.145,0,0,0,0,2.313,1.238,2.071,1.036,3.074,1.318,1.976,0.867,29
N.ar_FL_57,N.ar,0,0.125,1.355,1.727,1.728,0.355,0,0,0.478,0.332,2.121,0.807,2.502,0.808,2.776,0.643,1.187,0.342,29
N.ar_FL_58,N.ar,0,0,1.34,1.656,2.058,0.549,0,0,0,0,1.857,0.844,2.396,0.879,2.916,0.87,0.955,0.597,29
N.ar_FL_59,N.ar,0,0,1.105,1.403,2.043,0.81,0,0,0,0,2.152,0.652,2.203,0.813,2.896,0.884,2.136,0.527,29
N.ar_GA_135,N.ar,0,0.409,2.639,2.782,3.448,0.872,0,0,1.081,0.496,2.94,1.021,2.926,1.076,2.979,1.254,1.511,0.752,32.5
N.ar_GA_136,N.ar,0,0.514,2.235,3.019,2.881,0.801,0,0,1.07,0.478,3.038,0.755,2.802,1.111,2.746,1.268,1.284,0.763,32.5
N.ar_GA_137,N.ar,0,0,1.44,1.524,2.322,0.228,0,0,0,0,2.18,0.779,2.345,0.855,2.914,0.971,0.587,0.342,32.5
N.ar_GA_138,N.ar,0,0,1.656,1.891,2.533,0.452,0,0,0,0,2.324,0.804,2.36,0.864,2.659,0.981,1.017,0.535,32.5
N.ar_GA_139,N.ar,0,0.649,2.069,2.067,2.319,0.683,0,0,1.238,0.478,2.725,0.781,2.651,0.927,2.79,0.938,1.46,0.513,32.5
N.ar_GA_140,N.ar,0,0.141,1.697,1.686,2.253,0.772,0,0,0.457,0.308,2.081,0.832,2.35,0.758,2.628,1.163,1.727,0.367,32.5
N.ar_GA_141,N.ar,0,0,1.481,1.757,1.977,0.696,0,0,0,0,2.214,0.956,2.445,0.765,2.542,0.905,1.429,0.41,32.5
N.ar_GA_142,N.ar,0,0.49,2.576,2.532,2.988,1.155,0,0,1.103,0.476,2.885,1.136,3.013,0.931,3.305,1.14,2.095,0.48,32.5
N.ar_GA_143,N.ar,0,0.361,1.952,2.58,2.948,1.098,0,0,0.675,0.629,2.507,0.848,2.621,1.174,2.687,1.293,1.783,0.712,32.5
N.ar_GA_31,N.ar,0,0.307,1.117,1.477,1.438,0.394,0,0,1.084,0.411,2.194,0.578,2.464,0.756,2.593,0.625,1.403,0.405,32.5
N.ar_GA_32,N.ar,0,0.121,1.791,2.007,2.614,0.85,0,0,0.426,0.334,2.107,1.04,2.2,1.131,2.567,1.081,1.612,0.564,32.5
N.ar_GA_33,N.ar,0,0.219,1.156,1.631,2.219,0.583,0,0,0.834,0.359,1.771,0.807,2.282,0.864,2.659,1.102,1.332,0.598,32.5
N.ar_GA_34,N.ar,0,0,1.541,2.366,2.329,0.634,0,0,0,0,2.183,0.933,3.037,0.957,2.871,1.043,1.109,0.654,32.5
N.ar_GA_35,N.ar,0,0,1.027,1.224,1.516,0.546,0,0,0,0,2.203,0.528,2.191,0.591,2.659,0.622,1.268,0.468,32.5
N.ar_GA_36,N.ar,0,0,1.186,1.457,1.847,0.346,0,0,0,0,1.949,0.773,2.024,0.93,2.345,0.985,1.171,0.307,32.5
N.ar_GA_37,N.ar,0,0.292,1.116,1.41,2.012,0.442,0,0,0.849,0.518,1.93,0.654,2.062,0.725,2.371,0.845,1.337,0.267,32.5
N.ar_GA_38,N.ar,0,0.058,2.083,1.986,2.441,1.143,0,0,0.409,0.18,2.703,0.816,2.549,0.904,2.977,0.92,1.987,0.657,32.5
N.ar_LA_100,N.ar,0,0.344,2.982,3.377,3.927,1.411,0,0,0.734,0.534,2.891,1.103,3.1,1.264,3.434,1.367,2.367,0.696,31
N.ar_LA_101,N.ar,0,0,2.306,2.996,3.374,0.95,0,0,0,0,2.594,0.941,3.038,1.229,2.88,1.402,1.265,0.755,31
N.ar_LA_102,N.ar,0,0.5,2.39,2.806,3.454,0.411,0,0,0.906,0.632,2.684,1.055,2.955,1.138,3.213,1.295,0.979,0.465,31
N.ar_LA_103,N.ar,0,0.127,2.071,2.87,3.363,0.758,0,0,0.559,0.266,2.596,0.886,2.695,1.126,3.158,1.266,1.349,0.614,31
N.ar_LA_104,N.ar,0,0,2.617,2.557,2.853,0.678,0,0,0,0,2.97,1.053,2.765,1.04,3.055,1.169,1.34,0.526,31
N.ar_LA_105,N.ar,0,0.362,2.192,2.644,3.302,0.512,0,0,1.132,0.379,2.795,0.883,2.808,1.146,3.1,1.245,0.966,0.566,31
N.ar_LA_71,N.ar,0,0.192,2.15,2.671,3.581,0.665,0,0,0.718,0.388,2.756,0.98,2.858,1.185,3.508,1.258,1.398,0.519,31
N.ar_LA_72,N.ar,0,0.503,2.142,2.698,2.959,1.044,0,0,1.28,0.498,3.166,0.801,2.983,1.168,3.15,1.128,2.264,0.676,31
N.ar_LA_73,N.ar,0,0.314,1.527,1.722,2.003,0.428,0,0,0.943,0.399,2.228,0.719,2.584,0.739,2.484,0.885,1.162,0.404,31
N.ar_LA_74,N.ar,0,0,1.205,1.144,1.535,0.302,0,0,0,0,2.263,0.677,1.931,0.743,2.832,0.652,1.095,0.202,31
N.ar_LA_99,N.ar,0,0,2.637,3.724,3.885,0.962,0,0,0,0,2.941,1.094,3.173,1.342,3.482,1.393,2.157,0.553,31
N.ar_MS_106,N.ar,0,0,1.112,1.242,1.52,0.138,0,0,0,0,2.017,0.531,1.935,0.635,2.101,0.876,0.516,0.316,32.5
N.ar_MS_107,N.ar,0,0,1.077,1.38,1.614,0.543,0,0,0,0,1.678,0.841,1.987,0.717,2.193,0.791,1.081,0.491,32.5
N.ar_MS_108,N.ar,0,0.141,1.464,1.962,2.422,0.549,0,0,0.428,0.328,2.371,0.663,2.518,0.903,2.865,1.027,1.493,0.34,32.5
N.ar_MS_109,N.ar,0,0,1.889,2.72,2.881,1.016,0,0,0,0,2.381,0.971,2.297,1.238,2.684,1.067,1.555,0.7,32.5
N.ar_MS_110,N.ar,0,0.224,2.585,2.733,3.261,0.973,0,0,0.726,0.391,2.598,1.038,2.83,1.076,3.305,1.097,1.659,0.592,32.5
N.ar_MS_111,N.ar,0,0.599,3.248,3.293,4.119,1.272,0,0,1.208,0.516,3.161,1.075,3.07,1.172,3.315,1.437,1.821,0.854,32.5
N.ar_MS_112,N.ar,0,0,1.689,2.173,2.993,0.611,0,0,0,0,2.005,1.005,2.29,1.113,2.671,1.26,1.082,0.622,32.5
N.ar_MS_113,N.ar,0,0.473,2.506,2.394,3.021,0.798,0,0,1.311,0.488,2.694,1.136,2.511,1.115,2.826,1.155,1.233,0.671,32.5
N.ar_MS_114,N.ar,0,0,2.141,2.003,3.142,1.061,0,0,0,0,2.372,0.958,2.384,0.928,3.305,1.14,2.024,0.545,32.5
N.ar_MS_115,N.ar,0,0,2.297,2.447,3.023,0.396,0,0,0,0,2.415,1.115,2.363,1.246,2.645,1.232,0.954,0.404,32.5
N.ar_MS_116,N.ar,0,0,1.749,1.872,2.581,0.581,0,0,0,0,2.436,0.825,2.284,1.029,2.646,1.04,1.047,0.513,32.5
N.ar_NC_144,N.ar,0,0,1.093,1.934,2.036,0.296,0,0,0,0,1.804,0.726,2.11,1.129,2.106,1.014,0.79,0.307,35.5
N.ar_NC_145,N.ar,0,0.229,1.673,1.602,1.955,0.517,0,0,0.543,0.379,2.223,0.934,2.088,0.738,2.635,0.926,1.483,0.409,35.5
N.ar_NC_146,N.ar,0,0,1.308,1.431,1.566,0.49,0,0,0,0,2.422,0.398,2.127,0.745,2.308,0.593,0.981,0.433,35.5
N.ar_NC_147,N.ar,0,1.397,2.279,2.153,2.856,1.123,0,0,1.685,0.879,2.435,1.076,2.613,0.944,2.79,1.121,1.716,0.687,35.5
N.ar_NC_148,N.ar,0,0,1.821,2.25,2.838,0.786,0,0,0,0,2.357,0.753,2.556,1.016,2.776,0.961,1.401,0.584,35.5
N.ar_NC_149,N.ar,0,0,1.234,1.631,2.153,0.37,0,0,0,0,1.924,0.844,2.079,0.888,2.694,0.989,0.881,0.456,35.5
N.ar_NC_150,N.ar,0,0,1.663,1.537,2.225,0.894,0,0,0,0,1.848,1.085,2.19,0.866,2.759,0.938,1.471,0.464,35.5
N.ar_NC_151,N.ar,0,0,1.248,1.321,1.335,0.443,0,0,0,0,1.721,0.653,2.049,0.665,2.166,0.691,1.086,0.446,35.5
N.ar_NC_152,N.ar,0,0,0.783,1.411,1.366,0.492,0,0,0,0,1.616,0.46,2.052,0.822,2.116,0.821,1.199,0.371,35.5
N.ar_NC_153,N.ar,0,0,1.25,1.369,1.579,0.575,0,0,0,0,1.982,0.794,2.152,0.627,2.324,0.762,1.258,0.539,35.5
